variant_name,split,essay_set,n,qwk,mae,pearson,baseline_qwk,baseline_mae,baseline_pearson,delta_qwk_vs_baseline,delta_mae_vs_baseline,delta_pearson_vs_baseline
set6_gbdt_plus_shrinked_calibration,test,7,314,0.6916266373131725,2.9101789538552576,0.743273364796548,0.6916266373131725,2.9101789538552576,0.743273364796548,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,test,7,314,0.6916266373131725,2.9101789538552576,0.743273364796548,0.6916266373131725,2.9101789538552576,0.743273364796548,0.0,0.0,0.0
baseline_positive_linear,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
gbdt_selected_qwk_only,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
gbdt_selected_balanced,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
gbdt_selected_conservative,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
gbdt_manual_safe_group,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
set6_gbdt_only,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
val_selected_per_essay_set_model,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084,0.4139034236570367,6.069897399516125,0.5506495321462084,0.0,0.0,0.0
gbdt_selected_qwk_only,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.012093221416021982,-0.023749703197796124,0.0041632237706998865
gbdt_selected_balanced,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.012093221416021982,-0.023749703197796124,0.0041632237706998865
gbdt_selected_conservative,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.012093221416021982,-0.023749703197796124,0.0041632237706998865
gbdt_manual_safe_group,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.012093221416021982,-0.023749703197796124,0.0041632237706998865
gbdt_selected_balanced_plus_shrinked_calibration,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.012093221416021982,-0.023749703197796124,0.0041632237706998865
gbdt_manual_safe_group_plus_recommended_calibration,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455,0.7983923823656711,0.8339458633256127,0.8448104129290456,0.012093221416021982,-0.023749703197796124,0.0041632237706998865
